Well	Sample	Bio_Rep	Tech_rep	x_axis_cutoff	Keep
A1	blank	1	1	48	FALSE
A2	L1B4-500	1	1	48	TRUE
A3	L1B5-500	1	1	48	TRUE
A4	WT	1	1	48	TRUE
A5	spo0A	1	1	48	TRUE
A6	blank_media	1	1	48	FALSE
A7	blank	1	1	48	FALSE
A8	blank	1	1	48	FALSE
B1	blank	1	2	48	FALSE
B2	L1B4-500	1	2	48	TRUE
B3	L1B5-500	1	2	48	TRUE
B4	WT	1	2	48	TRUE
B5	spo0A	1	2	48	TRUE
B6	blank_media	1	2	48	FALSE
B7	blank	1	2	48	FALSE
B8	blank	1	2	48	FALSE
C1	blank	2	1	48	FALSE
C2	L1B4-500	2	1	48	TRUE
C3	L1B5-500	2	1	48	TRUE
C4	WT	2	1	48	TRUE
C5	spo0A	2	1	48	TRUE
C6	blank_media	2	1	48	FALSE
C7	blank	2	1	48	FALSE
C8	blank	2	1	48	FALSE
D1	blank	2	2	48	FALSE
D2	L1B4-500	2	2	48	TRUE
D3	L1B5-500	2	2	48	TRUE
D4	WT	2	2	48	TRUE
D5	spo0A	2	2	48	TRUE
D6	blank_media	2	2	48	FALSE
D7	blank	2	2	48	FALSE
D8	blank	2	2	48	FALSE
E1	blank	3	1	48	FALSE
E2	L1B4-500	3	1	48	TRUE
E3	L1B5-500	3	1	48	TRUE
E4	WT	3	1	48	TRUE
E5	spo0A	3	1	48	TRUE
E6	blank_media	3	1	48	FALSE
E7	blank	3	1	48	FALSE
E8	blank	3	1	48	FALSE
F1	blank	3	2	48	FALSE
F2	L1B4-500	3	2	48	TRUE
F3	L1B5-500	3	2	48	TRUE
F4	WT	3	2	48	TRUE
F5	spo0A	3	2	48	TRUE
F6	blank_media	3	2	48	FALSE
F7	blank	3	2	48	FALSE
F8	blank	3	2	48	FALSE
