Time	L0F1-200_1	L0F2-200_1	L0F3-200_1	L0F4-200_1	L0F5-200_1	L1F1-200_1	L1F2-200_1	L1F3-200_1	L1F4-200_1	L1F5-200_1	L0F1-200_2	L0F2-200_2	L0F3-200_2	L0F4-200_2	L0F5-200_2	L1F1-200_2	L1F2-200_2	L1F3-200_2	L1F4-200_2	L1F5-200_2	L0F1-200_3	L0F2-200_3	L0F3-200_3	L0F4-200_3	L0F5-200_3	L1F1-200_3	L1F2-200_3	L1F3-200_3	L1F4-200_3	L1F5-200_3
5.48	0.039	0.08800000000000001	0.039	0.04	0.039	0.04	0.075	0.039	0.04	0.091	0.04	0.094	0.04	0.04	0.04	0.04	0.08	0.039	0.039	0.098	0.039	0.091	0.04	0.04	0.039	0.04	0.08	0.039	0.039	0.083
5.75	0.039	0.092	0.039	0.04	0.039	0.04	0.078	0.039	0.04	0.096	0.04	0.099	0.04	0.04	0.04	0.04	0.084	0.039	0.039	0.10300000000000001	0.039	0.092	0.04	0.04	0.039	0.04	0.083	0.039	0.039	0.086
6.02	0.039	0.095	0.039	0.04	0.039	0.04	0.08199999999999999	0.039	0.04	0.10099999999999999	0.04	0.10300000000000001	0.04	0.04	0.039	0.04	0.087	0.039	0.039	0.11	0.039	0.096	0.04	0.04	0.039	0.04	0.087	0.039	0.039	0.09
6.28	0.039	0.1	0.039	0.04	0.039	0.04	0.085	0.039	0.04	0.107	0.04	0.109	0.04	0.04	0.04	0.04	0.092	0.039	0.039	0.11699999999999999	0.039	0.10099999999999999	0.04	0.04	0.039	0.04	0.091	0.039	0.04	0.094
6.53	0.039	0.10400000000000001	0.039	0.04	0.039	0.04	0.08900000000000001	0.039	0.04	0.113	0.04	0.114	0.04	0.04	0.04	0.04	0.096	0.039	0.039	0.124	0.039	0.107	0.04	0.04	0.039	0.04	0.096	0.039	0.039	0.099
6.8	0.039	0.11	0.039	0.04	0.039	0.04	0.09300000000000001	0.039	0.04	0.11900000000000001	0.04	0.122	0.04	0.04	0.04	0.04	0.10099999999999999	0.039	0.039	0.131	0.039	0.11199999999999999	0.04	0.04	0.039	0.04	0.10099999999999999	0.039	0.039	0.10300000000000001
7.07	0.039	0.115	0.039	0.04	0.039	0.04	0.098	0.039	0.04	0.128	0.04	0.126	0.04	0.04	0.04	0.04	0.106	0.039	0.039	0.141	0.039	0.11900000000000001	0.04	0.04	0.039	0.04	0.106	0.039	0.039	0.109
7.32	0.039	0.12	0.039	0.04	0.039	0.04	0.10300000000000001	0.039	0.040999999999999995	0.13699999999999998	0.04	0.134	0.04	0.04	0.04	0.04	0.113	0.039	0.039	0.15	0.039	0.126	0.04	0.04	0.039	0.04	0.111	0.039	0.039	0.115
7.58	0.039	0.127	0.039	0.04	0.039	0.04	0.10800000000000001	0.039	0.040999999999999995	0.146	0.04	0.14300000000000002	0.04	0.04	0.039	0.04	0.11800000000000001	0.039	0.039	0.162	0.039	0.131	0.04	0.04	0.039	0.04	0.11699999999999999	0.039	0.039	0.122
7.85	0.039	0.134	0.039	0.04	0.039	0.04	0.114	0.039	0.040999999999999995	0.157	0.04	0.152	0.04	0.04	0.039	0.04	0.125	0.039	0.039	0.175	0.039	0.141	0.04	0.04	0.039	0.04	0.124	0.039	0.039	0.129
8.12	0.039	0.142	0.039	0.04	0.039	0.04	0.121	0.039	0.040999999999999995	0.168	0.04	0.162	0.04	0.04	0.04	0.04	0.133	0.039	0.039	0.18899999999999997	0.039	0.152	0.04	0.04	0.039	0.04	0.131	0.039	0.039	0.138
8.37	0.039	0.151	0.039	0.04	0.039	0.04	0.128	0.039	0.040999999999999995	0.182	0.04	0.17300000000000001	0.04	0.04	0.04	0.04	0.141	0.039	0.039	0.20600000000000002	0.039	0.158	0.04	0.04	0.039	0.04	0.139	0.039	0.039	0.14800000000000002
8.63	0.039	0.159	0.039	0.04	0.039	0.04	0.135	0.039	0.040999999999999995	0.196	0.04	0.183	0.04	0.04	0.04	0.04	0.149	0.039	0.039	0.223	0.039	0.16699999999999998	0.04	0.04	0.039	0.04	0.147	0.039	0.039	0.157
8.9	0.039	0.16899999999999998	0.039	0.039	0.039	0.04	0.142	0.039	0.040999999999999995	0.212	0.04	0.19699999999999998	0.04	0.04	0.04	0.04	0.158	0.039	0.039	0.24	0.039	0.17800000000000002	0.04	0.04	0.039	0.04	0.155	0.039	0.039	0.16899999999999998
9.15	0.039	0.179	0.039	0.04	0.039	0.04	0.15	0.039	0.040999999999999995	0.22899999999999998	0.04	0.209	0.04	0.04	0.04	0.04	0.16699999999999998	0.039	0.039	0.261	0.039	0.215	0.04	0.04	0.039	0.04	0.16399999999999998	0.039	0.039	0.18100000000000002
9.42	0.039	0.19	0.039	0.039	0.039	0.04	0.159	0.039	0.040999999999999995	0.249	0.04	0.22399999999999998	0.04	0.04	0.039	0.04	0.177	0.039	0.039	0.282	0.039	0.2	0.04	0.04	0.039	0.04	0.174	0.039	0.039	0.19699999999999998
9.68	0.039	0.2	0.039	0.04	0.039	0.04	0.16899999999999998	0.039	0.042	0.26899999999999996	0.04	0.24100000000000002	0.04	0.04	0.039	0.04	0.188	0.039	0.039	0.307	0.039	0.21100000000000002	0.04	0.04	0.039	0.04	0.183	0.039	0.039	0.214
9.95	0.039	0.21	0.039	0.04	0.039	0.04	0.179	0.039	0.042	0.292	0.04	0.256	0.04	0.04	0.04	0.04	0.201	0.039	0.039	0.336	0.039	0.226	0.04	0.04	0.039	0.04	0.195	0.039	0.039	0.231
