Sample	Treatment	Strain	BiolRep	Day	TechRep	Plate
L2D5-100_1_171101_154656	2	D	5	100	1	171101_154656
L2D5-100_2_170925_133256	2	D	5	100	2	170925_133256
L2D5-100_2_171101_154656	2	D	5	100	2	171101_154656
L2D5-100_3_170925_133256	2	D	5	100	3	170925_133256
L2D5-100_3_171101_154656	2	D	5	100	3	171101_154656
L2D5-200_1_171128_170113	2	D	5	200	1	171128_170113
L2D5-200_2_171128_170113	2	D	5	200	2	171128_170113
L2D5-200_3_171128_170113	2	D	5	200	3	171128_170113
L2F1-100_1_170925_133256	2	F	1	100	1	170925_133256
L2F1-100_1_171023_141142	2	F	1	100	1	171023_141142
L2F1-100_2_170925_133256	2	F	1	100	2	170925_133256
L2F1-100_2_171023_141142	2	F	1	100	2	171023_141142
L2F1-100_3_170925_133256	2	F	1	100	3	170925_133256
L2F1-100_3_171023_141142	2	F	1	100	3	171023_141142
L2F2-100_1_170925_133256	2	F	2	100	1	170925_133256
L2F2-100_1_171023_141142	2	F	2	100	1	171023_141142
L2F2-100_2_170925_133256	2	F	2	100	2	170925_133256
L2F2-100_2_171023_141142	2	F	2	100	2	171023_141142
L2F2-100_3_170925_133256	2	F	2	100	3	170925_133256
L2F2-100_3_171023_141142	2	F	2	100	3	171023_141142
L2F3-100_1_170925_133256	2	F	3	100	1	170925_133256
L2F3-100_1_171023_141142	2	F	3	100	1	171023_141142
L2F3-100_2_170925_133256	2	F	3	100	2	170925_133256
L2F3-100_2_171023_141142	2	F	3	100	2	171023_141142
L2F3-100_3_170925_133256	2	F	3	100	3	170925_133256
L2F3-100_3_171023_141142	2	F	3	100	3	171023_141142
L2F4-100_1_170925_133256	2	F	4	100	1	170925_133256
L2F4-100_1_171023_141142	2	F	4	100	1	171023_141142
L2F4-100_2_170925_133256	2	F	4	100	2	170925_133256
L2F4-100_2_171023_141142	2	F	4	100	2	171023_141142
L2F4-100_3_170925_133256	2	F	4	100	3	170925_133256
L2F4-100_3_171023_141142	2	F	4	100	3	171023_141142
L2F5-100_1_170925_133256	2	F	5	100	1	170925_133256
L2F5-100_1_171023_141142	2	F	5	100	1	171023_141142
L2F5-100_2_170925_133256	2	F	5	100	2	170925_133256
L2F5-100_2_171023_141142	2	F	5	100	2	171023_141142
L2F5-100_3_170925_133256	2	F	5	100	3	170925_133256
L2F5-100_3_171023_141142	2	F	5	100	3	171023_141142
L2J1-100_1_170925_133256	2	J	1	100	1	170925_133256
L2J1-100_2_170925_133256	2	J	1	100	2	170925_133256
L2J1-100_3_170925_133256	2	J	1	100	3	170925_133256
L2J2-100_1_170925_133256	2	J	2	100	1	170925_133256
L2J2-100_2_170925_133256	2	J	2	100	2	170925_133256
L2J2-100_3_170925_133256	2	J	2	100	3	170925_133256
L2J3-100_1_170925_133256	2	J	3	100	1	170925_133256
L2J3-100_2_170925_133256	2	J	3	100	2	170925_133256
L2J3-100_3_170925_133256	2	J	3	100	3	170925_133256
L2J4-100_1_170925_133256	2	J	4	100	1	170925_133256
L2J4-100_2_170925_133256	2	J	4	100	2	170925_133256
L2J4-100_3_170925_133256	2	J	4	100	3	170925_133256
L2J5-100_1_170925_133256	2	J	5	100	1	170925_133256
L2J5-100_2_170925_133256	2	J	5	100	2	170925_133256
L2J5-100_3_170925_133256	2	J	5	100	3	170925_133256
L2P1-100_1_171101_154656	2	P	1	100	1	171101_154656
L2P1-100_2_171101_154656	2	P	1	100	2	171101_154656
L2P1-100_3_171101_154656	2	P	1	100	3	171101_154656
L2P2-100_1_171101_154656	2	P	2	100	1	171101_154656
L2P2-100_2_171101_154656	2	P	2	100	2	171101_154656
L2P2-100_3_171101_154656	2	P	2	100	3	171101_154656
L2P3-100_1_171101_154656	2	P	3	100	1	171101_154656
L2P3-100_2_171101_154656	2	P	3	100	2	171101_154656
L2P3-100_3_171101_154656	2	P	3	100	3	171101_154656
L2P4-100_1_171101_154656	2	P	4	100	1	171101_154656
L2P4-100_2_171101_154656	2	P	4	100	2	171101_154656
L2P4-100_3_171101_154656	2	P	4	100	3	171101_154656
L2P5-100_1_171101_154656	2	P	5	100	1	171101_154656
L2P5-100_2_171101_154656	2	P	5	100	2	171101_154656
L2P5-100_3_171101_154656	2	P	5	100	3	171101_154656
L2S1-100_1_170928_135419	2	S	1	100	1	170928_135419
L2S1-100_2_170928_135419	2	S	1	100	2	170928_135419
L2S1-100_3_170928_135419	2	S	1	100	3	170928_135419
L2S2-100_1_170928_135419	2	S	2	100	1	170928_135419
L2S2-100_2_170928_135419	2	S	2	100	2	170928_135419
L2S2-100_3_170928_135419	2	S	2	100	3	170928_135419
L2S3-100_1_170928_135419	2	S	3	100	1	170928_135419
L2S3-100_2_170928_135419	2	S	3	100	2	170928_135419
L2S3-100_3_170928_135419	2	S	3	100	3	170928_135419
L2S4-100_1_170928_135419	2	S	4	100	1	170928_135419
L2S4-100_2_170928_135419	2	S	4	100	2	170928_135419
L2S4-100_3_170928_135419	2	S	4	100	3	170928_135419
L2S5-100_1_170928_135419	2	S	5	100	1	170928_135419
L2S5-100_2_170928_135419	2	S	5	100	2	170928_135419
L2S5-100_3_170928_135419	2	S	5	100	3	170928_135419
