Sample	Treatment	Strain	BiolRep	Day	TechRep	Plate
L0F4-200_3_180112_134047	0	F	4	200	3	180112_134047
L0F5-100_1_170824_195818	0	F	5	100	1	170824_195818
L0F5-100_2_170824_195818	0	F	5	100	2	170824_195818
L0F5-100_3_170824_195818	0	F	5	100	3	170824_195818
L0F5-200_1_180112_134047	0	F	5	200	1	180112_134047
L0F5-200_2_180112_134047	0	F	5	200	2	180112_134047
L0F5-200_3_180112_134047	0	F	5	200	3	180112_134047
L0J1-100_1_170829_134555	0	J	1	100	1	170829_134555
L0J1-100_2_170829_134555	0	J	1	100	2	170829_134555
L0J1-100_3_170829_134555	0	J	1	100	3	170829_134555
L0J2-100_1_170829_134555	0	J	2	100	1	170829_134555
L0J2-100_2_170829_134555	0	J	2	100	2	170829_134555
L0J2-100_3_170829_134555	0	J	2	100	3	170829_134555
L0J3-100_1_170829_134555	0	J	3	100	1	170829_134555
L0J3-100_2_170829_134555	0	J	3	100	2	170829_134555
L0J3-100_3_170829_134555	0	J	3	100	3	170829_134555
L0J4-100_1_170829_134555	0	J	4	100	1	170829_134555
L0J4-100_2_170829_134555	0	J	4	100	2	170829_134555
L0J4-100_3_170829_134555	0	J	4	100	3	170829_134555
L0J5-100_1_170829_134555	0	J	5	100	1	170829_134555
L0J5-100_2_170829_134555	0	J	5	100	2	170829_134555
L0J5-100_3_170829_134555	0	J	5	100	3	170829_134555
L0P1-100_1_170901_135527	0	P	1	100	1	170901_135527
L0P1-100_2_170829_134555	0	P	1	100	2	170829_134555
L0P1-100_2_170901_135527	0	P	1	100	2	170901_135527
L0P1-100_3_170829_134555	0	P	1	100	3	170829_134555
L0P1-100_3_170901_135527	0	P	1	100	3	170901_135527
L0P2-100_1_170829_134555	0	P	2	100	1	170829_134555
L0P2-100_2_170829_134555	0	P	2	100	2	170829_134555
L0P2-100_3_170829_134555	0	P	2	100	3	170829_134555
L0P3-100_1_170829_134555	0	P	3	100	1	170829_134555
L0P3-100_2_170829_134555	0	P	3	100	2	170829_134555
L0P3-100_3_170829_134555	0	P	3	100	3	170829_134555
L0P4-100_1_170829_134555	0	P	4	100	1	170829_134555
L0P4-100_2_170829_134555	0	P	4	100	2	170829_134555
L0P4-100_3_170829_134555	0	P	4	100	3	170829_134555
L0P5-100_1_170829_134555	0	P	5	100	1	170829_134555
L0P5-100_2_170829_134555	0	P	5	100	2	170829_134555
L0P5-100_3_170829_134555	0	P	5	100	3	170829_134555
L0S1-100_1_170928_135419	0	S	1	100	1	170928_135419
L0S1-100_2_170928_135419	0	S	1	100	2	170928_135419
L0S1-100_3_170928_135419	0	S	1	100	3	170928_135419
L0S1-200_1_171017_151625	0	S	1	200	1	171017_151625
L0S1-200_2_171017_151625	0	S	1	200	2	171017_151625
L0S1-200_3_171017_151625	0	S	1	200	3	171017_151625
L0S2-100_1_170928_135419	0	S	2	100	1	170928_135419
L0S2-100_2_170928_135419	0	S	2	100	2	170928_135419
L0S2-100_3_170928_135419	0	S	2	100	3	170928_135419
L0S2-200_1_171017_151625	0	S	2	200	1	171017_151625
L0S2-200_2_171017_151625	0	S	2	200	2	171017_151625
L0S2-200_3_171017_151625	0	S	2	200	3	171017_151625
L0S3-100_1_170928_135419	0	S	3	100	1	170928_135419
L0S3-100_2_170928_135419	0	S	3	100	2	170928_135419
L0S3-100_3_170928_135419	0	S	3	100	3	170928_135419
L0S3-200_1_171017_151625	0	S	3	200	1	171017_151625
L0S3-200_2_171017_151625	0	S	3	200	2	171017_151625
L0S3-200_3_171017_151625	0	S	3	200	3	171017_151625
L0S4-100_1_170928_135419	0	S	4	100	1	170928_135419
L0S4-100_2_170928_135419	0	S	4	100	2	170928_135419
L0S4-100_3_170928_135419	0	S	4	100	3	170928_135419
L0S4-200_1_171017_151625	0	S	4	200	1	171017_151625
L0S4-200_2_171017_151625	0	S	4	200	2	171017_151625
L0S4-200_3_171017_151625	0	S	4	200	3	171017_151625
L0S5-100_1_170928_135419	0	S	5	100	1	170928_135419
L0S5-100_2_170928_135419	0	S	5	100	2	170928_135419
L0S5-100_3_170928_135419	0	S	5	100	3	170928_135419
L0S5-200_1_171017_151625	0	S	5	200	1	171017_151625
L0S5-200_2_171017_151625	0	S	5	200	2	171017_151625
L0S5-200_3_171017_151625	0	S	5	200	3	171017_151625
L1B1-100_1_170829_134555	1	B	1	100	1	170829_134555
L1B1-100_2_170829_134555	1	B	1	100	2	170829_134555
L1B1-100_3_170829_134555	1	B	1	100	3	170829_134555
L1B1-200_1_171002_152958	1	B	1	200	1	171002_152958
L1B1-200_2_171002_152958	1	B	1	200	2	171002_152958
L1B1-200_3_171002_152958	1	B	1	200	3	171002_152958
L1B1-300_1_171012_201847	1	B	1	300	1	171012_201847
L1B1-300_2_171012_201847	1	B	1	300	2	171012_201847
L1B1-300_3_171012_201847	1	B	1	300	3	171012_201847
L1B2-100_1_170829_134555	1	B	2	100	1	170829_134555
L1B2-100_2_170829_134555	1	B	2	100	2	170829_134555
L1B2-100_3_170829_134555	1	B	2	100	3	170829_134555
L1B2-200_1_171002_152958	1	B	2	200	1	171002_152958
L1B2-200_2_171002_152958	1	B	2	200	2	171002_152958
L1B2-200_3_171002_152958	1	B	2	200	3	171002_152958
L1B2-300_1_171012_201847	1	B	2	300	1	171012_201847
L1B2-300_2_171012_201847	1	B	2	300	2	171012_201847
L1B2-300_3_171012_201847	1	B	2	300	3	171012_201847
L1B3-100_1_170829_134555	1	B	3	100	1	170829_134555
L1B3-100_2_170829_134555	1	B	3	100	2	170829_134555
L1B3-100_3_170829_134555	1	B	3	100	3	170829_134555
L1B3-200_1_171002_152958	1	B	3	200	1	171002_152958
L1B3-200_2_171002_152958	1	B	3	200	2	171002_152958
L1B3-200_3_171002_152958	1	B	3	200	3	171002_152958
L1B3-300_1_171012_201847	1	B	3	300	1	171012_201847
L1B3-300_2_171012_201847	1	B	3	300	2	171012_201847
L1B3-300_3_171012_201847	1	B	3	300	3	171012_201847
L1B4-100_1_170829_134555	1	B	4	100	1	170829_134555
L1B4-100_2_170829_134555	1	B	4	100	2	170829_134555
L1B4-100_3_170829_134555	1	B	4	100	3	170829_134555
L1B4-200_1_171002_152958	1	B	4	200	1	171002_152958
L1B4-200_2_171002_152958	1	B	4	200	2	171002_152958
